2020-Apr-19 | 18:15:55 | Start of log
2020-Apr-19 | 18:15:55 | INFO | cliParams.configPath: 
2020-Apr-19 | 18:15:55 | INFO | cliParams.dhName: DESKTOP-NRPN191_Tracker
2020-Apr-19 | 18:15:55 | INFO | cliParams.dhIp: 127.0.0.1
2020-Apr-19 | 18:15:55 | INFO | 
2020-Apr-19 | 18:15:55 | INFO | Resolved myConfig.myActiveConfigPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json
2020-Apr-19 | 18:15:55 | INFO | Resolved defaultConfigPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\default.json
2020-Apr-19 | 18:15:55 | INFO | Resolved myConfig.myFolderPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects
2020-Apr-19 | 18:15:55 | INFO | Resolved myConfig.myLogFolderPath: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\log
2020-Apr-19 | 18:15:55 | INFO | Trying to parse D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json
2020-Apr-19 | 18:15:55 | ERROR | Error parsing config: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json reason: Error reading config file: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json error: D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\activeConfig.json: cannot open file
2020-Apr-19 | 18:15:55 | INFO | Trying to parse D:/Coding\stype\Pixotope CTS - Stype Follower - 1.2.0\Pixotope CTS - Stype Follower - 1.2.0\ctsStypeObjects\config\default.json
2020-Apr-19 | 18:15:55 | ERROR | Distortion model not recognized: undefined
2020-Apr-19 | 18:15:55 | INFO | Success! Starting with chains
2020-Apr-19 | 18:15:55 | INFO | Input: [127.0.0.1:6305]
2020-Apr-19 | 18:15:55 | INFO | Output: [192.168.44.4:8567]
2020-Apr-19 | 18:15:55 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:15:57 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"49.99 hz","reasons":""}]}
2020-Apr-19 | 18:15:57 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:15:57 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:15:58 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 18:15:58 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:15:58 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:15:59 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 18:16:02 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:16:02 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"3.54 hz","reasons":""}]}
2020-Apr-19 | 18:16:02 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:02 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:02 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"3.91 hz","reasons":""}]}
2020-Apr-19 | 18:16:02 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:02 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:02 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:02 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"62.75 hz","reasons":""}]}
2020-Apr-19 | 18:16:02 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:16:02 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:03 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"50.08 hz","reasons":""}]}
2020-Apr-19 | 18:16:03 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:16:03 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:04 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"50.02 hz","reasons":""}]}
2020-Apr-19 | 18:16:04 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:16:04 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:05 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"50.01 hz","reasons":""}]}
2020-Apr-19 | 18:16:18 | ERROR | DataHubClient handleRecv,  10061: 由于目标计算机积极拒绝，无法连接。
2020-Apr-19 | 18:16:18 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"0.73 hz","reasons":""}]}
2020-Apr-19 | 18:16:19 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:19 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"0.81 hz","reasons":""}]}
2020-Apr-19 | 18:16:19 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:19 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"0.90 hz","reasons":""}]}
2020-Apr-19 | 18:16:19 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:19 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"0.99 hz","reasons":""}]}
2020-Apr-19 | 18:16:19 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:19 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"1.10 hz","reasons":""}]}
2020-Apr-19 | 18:16:19 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:19 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"1.22 hz","reasons":""}]}
2020-Apr-19 | 18:16:19 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:19 | STATUS | {"CTS_Statusreport":[{"name":"Object1","id":"COb5Oj7gyr63mLCK","status":"1.35 hz","reasons":""}]}
2020-Apr-19 | 18:16:19 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
2020-Apr-19 | 18:16:19 | ERROR | DataHubClient handleRecv,  10054: 远程主机强迫关闭了一个现有的连接。
